DataSource	Brand	Model	Type	Status	Dnom_in	Re	Fs	Qm	Qe	Qt	Rm	Mm	Cm	Vas	Sd	BL	Pe	Xmax	CreepBeta	Z1k	Z10k	L2	Le	Ke	R2	USPL	Beta	Revision	EntryDate	Km	Xmax_geom	Xmax_damage	n0	Vd	Res	Cmes	Lces	Dd	SPL1W	Depth	MotorH	MotorDiam	VCd	VCMass	Vocc	Vocc_est	Vocc_rough	Dnom_cm	Znom	kLe	fLe	DiaphH	Df	fpist	f4pi	f2pi	DiamOA	fmax	Mair	Mmd	Zres	EBP	Gamma	Mpow	SPLmx	Hc	Hg	AspectR	LengthOA	WidthOA	F_HighRated	F_LowRated	VCMat	FormerMat	DiaphMat	SurrMat	SpidMat	FrameMat	MagMat	DiaphShape	MotorShape	MotorLength	MotorWidth	HeightOA	FlangeH	MassOA	MagDiam	MagH	MagMass	Bpeak	BaffleCutoutDiam	BaffleCutoutLength	BaffleCutoutWidth	BoltCircleDiam	BoltCircleScrewDiam	BoltCircleScrewQty	TerminalPairsQty	TempLowPerfRated	TempHighPerfRated	TempLowDamageRated	TempHighDamageRated	HumidityLowPerfRated	HumidityHighPerfRated	HumidityLowDamageRated	HumidityHighDamageRated	Urms_100H_Max	Urms_Max_Rated	Pmax_Rated	BL1	BL2	BL3	BL4	BL5	BL6	BL7	BL8	K1	K2	K3	K4	K5	K6	K7	K8	Lx1	Lx2	Lx3	Lx4	Lx5	Lx6	Lx7	Lx8	Li1	Li2	Li3	Li4	Rmv1	Rmv2	Rmv3	Rmv4	Rtm	Rtv	tauC	tauM	Rv	AlphaBypass	Ctm	Ctv	DataDate	DIY_Availability	Application	URL	Cost	EnteredBy	Notes
PE_july2024	FaitalPRO	18XL2000	Pro woofer or subwoofer or midrange	preliminary	18	5.3	28	10.1	0.28	0.27	5.11620622	0.286	0.00011	0.252499837	0.1124	30.8	2000	0.01632					0.00145			95.71404831	178.9886792	"CLEARANCE FaitalPRO 18XL2000 18"" Professional Neodymium Subwoofer 8 Ohm"	7/28/2024 0:00	9090.909091			0.019366652	0.001834368	185.4186401	0.000301484	0.1043504	0.378301632	95.07054541	0.227075993			0.11811				0.017477722	46	8				1.851851852		288.6064497	577.2128995	0.457199985	906.6839023	0.021421215	0.264578785	190.7186401	100	107.6923077	13.37866508	125.0808454			1			1600	30	Copper	Fiberglass	Treated Paper	Cloth	clothA	Cast Aluminum	Neodymium							11.74804037					0.421893986					8												4000																																										yes	"FaitalPRO 18XL2000 18"" Professional Neodymium Subwoofer 8 OhmFaital Pro built the 18XL2000 18"" professional subwoofer driver to meet the current market demands for more powerful drivers. The large 4.65"" voice coil is cooled with extensive venting to allow up to 4,000 watts peak (2,000 watts RMS) for long periods with minimal compression. Driving the coil is a is a lightweight, but powerful, neodymium motor that allows ample room for the incredible 16.32 mm of xmax (32.74 mm peak to peak). To help keep inductance and distortion at a minimum, the motor assembly includes dual aluminum shorting rings. With a deep fold accordion surround and two mirror imaged spiders the cone is kept linear to the limits of excursion and beyond. Thanks to Faital Pro's attention to detail and precision construction, the 18XL2000 is one of the most capable 18"" drivers on the market today."	https://www.parts-express.com/FaitalPRO-18XL2000-18-Professional-Neodymium-Subwoofer-8-Ohm-294-1314	935	AS	
PE_july2024	Factory Buyouts	NE1530-80	Pro woofer or subwoofer or midrange	preliminary	15	6.7	38	11.56	0.37	0.36	1.947895959	0.0944	0.000186	0.235548799	0.0846	20.2	400	0.0035					0.0012			97.17404452	60.90149254	"BUYOUT Maxo NE1530-8 15"" Treated Paper Cone Neodymium Woofer 8 Ohm"	7/28/2024 0:00	5376.344086			0.034174907	0.0002961	209.4773071	0.00023135	0.07589544	0.328201258	97.53707336	0.155574995			0.0762				0.003749205	38	8				1.388888889		332.6626222	665.3252444	0.31114999	1045.09045	0.013987825	0.080412175	216.1773071	102.7027027	213.9830508	7.803940834	120.5576733			1			3500	45	Copper	Kapton® / Polyimide	Treated Paper	Cloth	clothB	Cast Aluminum	Neodymium							4.535922922					0.352424989					8												800																																										yes	"Maxo NE1530-8 15"" Treated Paper Cone Neodymium Woofer 8 OhmThe Maxo NE1530-8 15"" treated paper cone neodymium woofer boasts high efficiency and smooth output across midbass frequencies, making it the perfect choice for integration into 3-way high output speaker systems. This 8 ohm driver, equipped with a 3"" voice coil, optimized venting, a cast aluminum frame, and a treated paper cone, guarantees unwavering performance even when pushed to its limits for prolonged periods of time. This woofer features a cast aluminum frame and a neodymium motor design, effectively minimizing weight to under 11 pounds. The 3"" 2-layer voice coil, constructed on a polyimide former, can reliably handle power inputs up to 400 watts RMS, ensuring optimal performance and durability. To combat heat build-up, this driver incorporates venting mechanisms beneath the spider, pole piece, and voice coil gap, maximizing airflow and promoting effective cooling. The water-resistant reinforced paper cone and cloth surround allow for use in less than ideal conditions, providing added versatility and durability. With a sensitivity rating of over 94 dB, this woofer excels in overall output capability, delivering impressive sound performance. Taking advantage of a hybrid neodymium and ferrite motor assembly, the Maxo NE1530-8 produces a powerful and symmetric magnetic gap, enhancing the speaker's ability to deliver high output sound reproduction.In summary, the Maxo NE1530-8 is a formidable woofer choice for high output speaker systems. With its lightweight yet durable design, high power handling capabilities, efficient cooling mechanisms, and water-resistant construction, this woofer offers reliable performance even under demanding conditions. The advanced neodymium and ferrite motor assembly further enhances its sonic capabilities, making it a top choice for professional audio enthusiasts.Note: This new old stock driver is from a factory buyout. At such an economical price, these drivers won't last forever, quantities are limited."	https://www.parts-express.com/Maxo-NE1530-8-15-Treated-Paper-Cone-Neodymium-Woofer-8-Ohm	59.88	AS	
PE_july2024	Ciare	PW257	Pro woofer or subwoofer or midrange	preliminary	10	5.21	57	3.2	0.33	0.3	3.944592183	0.0449	0.000221204	0.038492982	0.0353	15.86	400	0.0055					0.00094			96.12042229	48.28015355	"CLEARANCE Ciare PW257 10"" High Power Woofer"	7/28/2024 0:00	4520.711706			0.021133409	0.00019415	63.76821438	0.000178501	0.055641593	0.212003198	95.44969561	0.119887996			0.0762				0.002062551	25	8				1.666666667		514.993604	1029.987208	0.267969991	1617.900123	0.003770133	0.041129867	68.97821438	172.7272727	353.2293987	6.948392156	118.4702955			1			3000	50	Copper	Aluminum	Paper	Cloth	fiber blend	Cast Aluminum	Ferrite	round	round					5.579185194					0.234949992					8												800																																										yes	"Ciare PW257 10"" High Power WooferIntroducing the Ciare PW257, the 10-inch high power woofer that's designed to deliver an unmatched audio experience. With a rugged build and high-quality materials, this speaker is engineered to withstand even the most demanding conditions.The PW257 features a powerful ferrite magnet and a high-temperature voice coil that delivers exceptional performance, making it perfect for high-power applications. Whether you're building a custom home theater system, a professional sound system, or upgrading your car audio, the PW257 is the ideal choice.Installation is a breeze thanks to the PW257's standard mounting options, and the speaker is compatible with a wide range of enclosures. Plus, its sleek and stylish design ensures it looks great no matter where you install it.Overall, the Ciare PW257 is a top-of-the-line woofer that offers exceptional performance, durability, and versatility. Upgrade your sound system today with the PW257 and experience audio like never before."	https://www.parts-express.com/Ciare-PW257-10-High-Power-Woofer-293-146	234	AS	
PE_july2024	Ciare	CW260SPL	Pro woofer or subwoofer or midrange	preliminary	10	2.54	40	14.24	0.19	0.19	0.598436658	0.04256	0.000466909	0.08263631	0.0356	11.97	300	0.006					0.000479			100.4547221	56.40980315	"Ciare CW260SPL 10"" High-Output Woofer 4 Ohm"	7/28/2024 0:00	2141.746362			0.027231695	0.0002136	239.4253395	0.000297039	0.066899098	0.212902155	96.55074667	0.116585996			0.0635				0.002062551	25	4				2.631578947		512.8190963	1025.638193	0.267969991	1611.068706	0.003818296	0.038741704	241.9653395	210.5263158	281.25	7.510645988	118.3219592			1			3500	80	Copper	Fiberglass	Paper-Treated Paper	Cloth		Cast Aluminum	Ferrite	round	round					5.443107506					0.234949992					8												600																																										yes	"The Ciare CW260SPL 10"" High-Output Woofer is a powerful and reliable speaker driver designed to deliver exceptional performance in high-output audio systems. With its advanced construction and design, this woofer can handle high power levels while delivering clear and accurate sound.The CW260SPL features a large 10"" cone made from a durable and lightweight material, which ensures a smooth and natural sound with excellent detail and clarity. Its high-power handling capabilities make it an ideal choice for use in a wide range of audio systems, including home theaters, professional sound systems, and car audio setups.Whether you're a DIY enthusiast or a professional sound engineer, the CW260SPL is a versatile and reliable choice for any high-output audio project. Its sleek and modern design makes it a perfect complement to any audio system, while its exceptional sound quality and power handling capabilities ensure that it delivers outstanding performance every time.If you're looking for a high-quality and powerful woofer that can handle even the most demanding audio applications, the Ciare CW260SPL 10"" High-Output Woofer is the perfect choice. With its advanced design, exceptional sound quality, and reliable performance, it's the ideal solution for any audio project that demands the very best."	https://www.parts-express.com/Ciare-CW260SPL-10-High-Output-Woofer-4-Ohm-293-142	189.09	AS	
PE_july2024	Factory Buyouts	DG09-10-034	Pro woofer or subwoofer or midrange	preliminary	10	3.8	49.6	4.86	0.41	0.38	2.539386684	0.0394	0.00026	0.055090873	0.0345	10.7	250	0.0045					0.00056			96.3790069	30.12894737	"BUYOUT Eminence Professional 10"" Paper Cone Neodymium Woofer 4 Ohm"	7/28/2024 0:00	3846.153846			0.016040511	0.00015525	45.08568967	0.000344135	0.0297674	0.209587128	94.25218207	0.111124996			0.0635				0.001837766	25	4				1.315789474		520.9303258	1041.860652	0.260349992	1636.550885	0.003642699	0.035757301	48.88568967	120.9756098	271.5736041	5.488984184	115.2315822			1			4000	50		Kapton® / Polyimide	Paper	Cloth		Cast Aluminum	Neodymium	round	round					1.76900994					0.232409993					8												500																																										yes	"Eminence Professional 10"" Paper Cone Neodymium Woofer 4 OhmThis 4 ohm 10"" paper cone woofer from Eminence Speakers is designed to deliver exceptional performance while minimizing weight. Weighing less than 4 pounds, this woofer utilizes a powerful neodymium magnet to maintain maximum performance. Its high efficiency, good excursion, and low distortion make it suitable for various high output designs, including studio monitors, professional line arrays, and bass guitar amplifiers.Equipped with an integrated heatsink and a 2-1/2"" diameter voice coil, this woofer can handle up to 250 watts RMS. With over 96 dB sensitivity, even lower power systems can expect high sound pressure level (SPL). The high energy neodymium motor ensures that weight is kept to a minimum without compromising performance. Additionally, the vented pole piece facilitates continuous airflow across the voice coil to effectively dissipate excess heat.This 10"" paper cone woofer is engineered to provide exceptional performance and durability. Combining technical precision and meticulous design, this woofer is the ideal choice for those seeking high output and reliable sound reproduction in professional audio applications.Note: This new old stock driver is from a factory buyout. At such an economical price, these drivers won't last forever, quantities are limited."	https://www.parts-express.com/Eminence-Professional-10-Paper-Cone-Neodymium-Woofer-4-Ohm-299-2254	79.88	AS	
PE_july2024	Eminence Speaker	Delta Pro-12A	Pro woofer or subwoofer or midrange	preliminary	12	5.71	51	7.56	0.37	0.35	1.965662105	0.048	0.00021	0.102059375	0.05324	15.3	400	0.0046					0.00084			98.00158845	40.99649737	"Eminence Delta Pro-12A 12"" Cast Frame Driver"	7/28/2024 0:00	4761.904762			0.035796378	0.000244904	119.0896438	0.000205049	0.0491589	0.260359892	97.73839083	0.157987995			0.0635				0.003910906	31	8				1.428571429		419.3437404	838.6874808	0.31445199	1317.407214	0.006983155	0.041016845	124.7996438	137.8378378	318.75	6.402850722	120.7589907			1			4500	52	Aluminum	Kapton® / Polyimide	Paper	Cloth		Cast Aluminum	Ferrite	round	round					8.11930203					0.281177991					8												800																																										yes	"The Eminence Delta Pro-12A 12"" cast frame speaker is recommended for professional audio in sealed, vented, and horn-loaded enclosures. Ideal for full-range, mid/hi, and monitor wedges. Extremely efficient through the midrange, but with a surprisingly strong bass kick as well. Similar to EVM12L-BL guitar speaker. Suitable replacement for EAW FR129Z, EAW SM122e, 804058, and LC1243. Made in the USA. 7-year manufacturer's warranty!"	https://www.parts-express.com/Eminence-Delta-Pro-12A-12-Cast-Frame-Driver-290-510	159.99	AS	
PE_july2024	Eminence Speaker	Kappalite 3015	Pro woofer or subwoofer or midrange	preliminary	15	5.27	45	6.7	0.36	0.34	3.51918061	0.084	0.00015	0.190699177	0.0856	18.6	450	0.0059					0.00064			99.65848196	65.64705882	"Eminence Kappalite 3015 Neo 15"" Speaker Driver"	7/28/2024 0:00	6666.666667			0.047223833	0.00050504	98.30697493	0.000242803	0.051894	0.330135283	98.94161237	0.172719994			0.0762				0.009171278	38	8				1.470588235		330.713791	661.427582	0.389127988	1038.968016	0.014236567	0.069763433	103.5769749	125	221.4285714	8.102287259	122.4737375			1			4000	40	Copper	Kapton® / Polyimide	Paper	Cloth		Cast Aluminum	Neodymium	round	round					4.581282151					0.355599989					8												900																																										yes	"Equipped with a cast aluminum frame and lightweight neodymium magnet, the Eminence Kappalite 3015 15"" speaker is recommended for vented professional audio enclosures for full-range or as mids."	https://www.parts-express.com/Eminence-KAPPALITE-3015-Neo-15-Driver-290-597	269.99	AS	
PE_july2024	B&C Speakers	6MD38	Pro woofer or subwoofer or midrange	preliminary	6.5	5.7	130	3.7	0.49	0.44	2.27985285	0.012	0.000145134	0.003531466	0.0132	10.5	120	0.002					0.00025			94.67468838	19.34210526	"B&C 6MD38 6-1/2"" Midrange Speaker"	7/28/2024 0:00	6890.198945			0.015490535	0.0000264	48.35838418	0.000108844	0.016000989	0.129640896	94.10066413	0.081279997			0.0381				0.000499254		8				1.136363636		842.1747619	1684.349524	0.187959994	2645.770045	0.000862096	0.011137904	54.05838418	265.3061224	875	4.397966037	111.8924766			1			6000	150	Aluminum	Fiberglass	Paper	Cloth		Cast Aluminum	Ferrite	round	round					2.630835295					0.144779995					4												240																																										yes	"The B&C Speakers 6MD38 is a high efficiency 6.5"" cone midrange that is engineered to provide excellent results when installed in three and four way systems. The 6MD38 features very smooth response from 400 Hz to 6 kHz. An aluminum voice coil on a fiberglass former promotes efficiency combined with durability."	https://www.parts-express.com/B-C-6MD38-6-1-2-Midrange-Speaker-294-651	109.04	AS	
PE_july2024	Eminence Speaker	Kappalite 3012HO	Pro woofer or subwoofer or midrange	preliminary	12	5.5	52	8.39	0.33	0.32	1.82399999	0.047	0.0002	0.100999935	0.05324	15.9	400	0.0062					0.00057			98.84403828	45.96545455	"Eminence Kappalite 3012HO Neo 12"" Speaker Driver"	7/28/2024 0:00	5000			0.042101208	0.000330088	138.6019745	0.00018591	0.050562	0.260359892	98.4429456	0.143001995			0.0762				0.003910906	31	8				1.5625		419.3437404	838.6874808	0.31445199	1317.407214	0.006983155	0.040016845	144.1019745	157.5757576	338.2978723	6.77978278	121.4635455			1			3500	51	Aluminum	Kapton® / Polyimide	Paper	Cloth		Cast Aluminum	Neodymium	round	round					3.651417952					0.280923991					8												800																																										yes	"The Eminence Kappalite 3012HO 12"" speaker is a high power driver for pro audio or MI applications. Cast aluminum basket, polyimide VC former, and treated paper cone with cloth double half-roll edge. The optimized neodymium motor greatly reduces weight while still delivering high efficiency with low distortion. Great for 2-way systems including floor monitors, and as the mid component in large multi-way PA systems. Excellent results when used in horn-loaded mid designs."	https://www.parts-express.com/Eminence-KAPPALITE-3012HO-Neo-12-Driver-290-589	249.99	AS	
PE_july2024	GRS	S115V-LF-8	Pro woofer or subwoofer or midrange	preliminary	15	6.152	37.35	14.02	0.405	0.394	1.220624731	0.073	0.000249	0.303176377	0.08296	16.12	350	0.00325					0.001044			98.01843769	42.2390117	"GRS S115V-LF-8 Replacement 15"" Woofer for Yamaha Club Series S115V Speakers"	7/28/2024 0:00	4016.064257			0.038158345	0.00026962	212.8863962	0.000280927	0.064703746	0.325004542	98.01589531	0.152399995			0.0762				0.00912348	38	8				1.269035533		335.9346615	671.869323	0.388619988	1055.369865	0.013583064	0.059416936	219.0383962	92.22222222	220.8219178	6.499154691	120.4565758			1			2000	35	CCA	Kapton® / Polyimide	Paper	Cloth		Cast Aluminum	Ferrite	round	round					10.2511858					0.355599989					8												700																																										yes	"GRS S115V-LF-8 Replacement 15"" Woofer for Yamaha Club Series S115V SpeakersDon't just replace - upgrade. Bring those old and worn-down Yamaha S115V Club Series speakers back to life with the GRS S115V-LF woofer. Designed to be an improvement of the original, these can be swapped in only a few minutes with a few basic tools.The GRS S115V replacement woofer has been designed to improve the performance of your Yamaha Club Series speakers by optimizing crossover summation of the original installed woofers. When the GRS S115V-LF-8 is paired with the GRS S115V-HF-16 compression driver, you can expect an improvement in off-axis response, perfect summing at the crossover point, and increased detail and clarity in the high-end providing performance where you expect it most.Response with original driversResponse with GRS replacement driversImproved PerformanceThis woofer shares all of the important design features of the original, such as a 3"" edge-wound voice coil wound on a Kapton former and an engineered cone profile for ultra smooth upper midrange response that bests the original. When installed in the original cabinet, the bass extension of the GRS S115V is preserved, showing the same LF performance as the original, but with increased intelligibility that you would expect from a PA speaker thanks to its ability to fill in the notch at 1800Hz.A solid cast frame and large ferrite motor structure bring everything together, allowing this woofer to hold up to the harshest environments of live audio. Combine all of these traits together and you get not only a great, inexpensive replacement, but a solid improvement over the original - all while maintaining the strength and durability that allows it to last for years to come. SpecificationsQ&AReviewsManuals & Resources"	https://www.parts-express.com/GRS-S115V-LF-8-Replacement-15-Woofer-for-Yamaha-Club-Series-S115V-Speakers-292-850	139.98	AS	
